               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.031752,            0.038227,           0.0041079,             0.39582,             0.46687,              0.3754,             0.21843,            0.041317,            0.044432,            0.010833,            0.006601,            0.006601,            0.006601
                 105,            0.031161,            0.037273,           0.0042127,             0.36508,             0.51444,             0.36031,             0.20181,            0.040152,            0.042774,            0.012786,            0.006568,            0.006568,            0.006568
                 106,            0.031545,            0.036798,           0.0043344,             0.39886,             0.36496,             0.37174,             0.20537,             0.03956,            0.042311,            0.010373,            0.006535,            0.006535,            0.006535
                 107,            0.030605,            0.036639,           0.0043561,             0.44277,             0.31544,             0.34188,             0.19957,            0.039532,            0.043756,            0.009892,            0.006502,            0.006502,            0.006502
                 108,            0.030915,            0.036533,           0.0041784,             0.46201,             0.31504,             0.33529,             0.19545,            0.040647,            0.042557,             0.01048,            0.006469,            0.006469,            0.006469
                 109,            0.031183,            0.038393,           0.0040596,             0.46999,             0.36324,             0.34548,             0.19261,            0.040684,            0.043219,            0.011463,            0.006436,            0.006436,            0.006436
                 110,            0.030608,            0.036835,           0.0041708,             0.35683,             0.40231,              0.3456,             0.19511,            0.040984,            0.043663,            0.011723,            0.006403,            0.006403,            0.006403
                 111,            0.030547,            0.035952,             0.00423,              0.4617,             0.31595,             0.34145,             0.19139,            0.040336,            0.044387,            0.011514,             0.00637,             0.00637,             0.00637
                 112,            0.030615,            0.035704,           0.0041455,             0.43428,             0.32836,             0.34264,             0.19064,            0.040921,            0.044429,            0.010463,            0.006337,            0.006337,            0.006337
                 113,             0.03042,            0.036622,           0.0043634,             0.42903,              0.3429,             0.33044,             0.18824,            0.041332,            0.044344,            0.011631,            0.006304,            0.006304,            0.006304
                 114,             0.03117,             0.03779,            0.004075,             0.63278,             0.34518,             0.35891,             0.20138,            0.040478,            0.042599,           0.0092971,            0.006271,            0.006271,            0.006271
                 115,            0.030534,            0.036578,           0.0041411,             0.42561,             0.33875,             0.35128,              0.2037,            0.040827,            0.045501,           0.0096116,            0.006238,            0.006238,            0.006238
                 116,             0.03096,            0.035889,           0.0039685,             0.48347,             0.34084,             0.35848,             0.20513,            0.041545,            0.044042,            0.010344,            0.006205,            0.006205,            0.006205
                 117,            0.030283,            0.034435,            0.003961,             0.39163,             0.45183,             0.35574,             0.19948,            0.041336,            0.043197,            0.010859,            0.006172,            0.006172,            0.006172
                 118,            0.029884,            0.034626,           0.0039036,             0.56934,             0.44061,              0.4496,             0.26033,            0.040879,            0.044004,              0.0106,            0.006139,            0.006139,            0.006139
                 119,            0.029717,             0.03493,           0.0038894,             0.45393,             0.45485,              0.4047,             0.22725,            0.041758,            0.043457,            0.013865,            0.006106,            0.006106,            0.006106
                 120,            0.030297,            0.036388,            0.004059,             0.67258,             0.32024,             0.36002,             0.20518,            0.041121,            0.044402,            0.012679,            0.006073,            0.006073,            0.006073
                 121,            0.028999,            0.036811,            0.003707,              0.4804,             0.35787,             0.34638,             0.19594,            0.040441,            0.043159,            0.012233,             0.00604,             0.00604,             0.00604
                 122,            0.030034,            0.034846,           0.0039307,             0.50541,             0.32908,             0.34189,             0.19005,            0.040751,              0.0437,            0.017423,            0.006007,            0.006007,            0.006007
                 123,            0.029427,            0.035562,            0.003967,             0.63144,             0.30912,             0.33671,             0.18959,            0.040906,            0.044363,             0.01188,            0.005974,            0.005974,            0.005974
                 124,            0.030116,             0.03559,           0.0037578,             0.45965,             0.48112,             0.38433,             0.21253,            0.040309,            0.043319,            0.012272,            0.005941,            0.005941,            0.005941
